title,text,subject,date
BJP targets Rahul Gandhi over viral video; Congress hits back,"The undated video, which has been shared by several BJP leaders on Twitter, has a discotheque as its background with people around him seen consuming liquor, reported news agency ANI. ""Rahul Gandhi was at a nightclub when Mumbai was under seize. He is at a nightclub at a time when his party is exploding. He is consistent. Interestingly, soon after the Congress refused to outsource their presidency, hit jobs have begun on their Prime Ministerial candidate...,"" tweeted BJP IT cell head Amit Malviya.BJP national spokesperson Shehzad Jai Hind also attacked Rahul and said that the ""baba is partying"" in Nepal while clashes erupted in Rajasthan. He further said that the party (Congress) will end, but Rahul's party will continue, calling him a ""party neta"".",news ,30-11-2018
"Maharashtra CM Uddhav Thackeray says BJP indulging in ugly politics, calls it 'fake Hindutva' party
","Thackeray said the BJP had given loudspeakers to its A, B, and C teams and asked them to visit Aurangzeb's tomb and recite Hanuman Chalisa.
""While BJP will watch the tamasha and address press conferences,"" he charged. He also said that Shiv Sena's mouthpiece 'Saamana' never insulted Prime Minister Narendra Modi but highlighted issues of state and national importance.",news ,30-11-2018
16 pieces of misinformation spread by the BJP IT cell chief,"On January 15, Amit Malviya, the official who runs the Bharatiya Janata Party’s IT cell, shared a video on social media of a random group of persons claiming that the women of Delhi’s Shaheen Bagh are being paid to protest against the Citizenship Amendment Act.

Malviya’s allegation was found baseless by a collaborative Alt News-Newslaundry investigation. But this did not discourage the BJP official.",news ,30-11-2018
Twitter puts manipulated media label on Amit Malviya's tweet,"Referring to Rahul Gandhi's tweet which showed a farmer trying to save himself from being hit by a policeman, Amit Malviya put out two screenshots mentioned as propaganda and reality with the reality video claiming the farmer was not even touched. ""Rahul Gandhi must be the most discredited opposition leader India has seen in a long long time,"" read Amit Malviya's tweet which has a manipulated media label from Twitter.",news ,30-11-2018
Singapore Threatens to Invoke Fake News Act Against Delhi CM Kejriwal,"The southeast Asian city-state has been up in arms since Kejriwal’s tweet in Hindi, which resulted in the Indian high commissioner being summoned to the Singapore foreign ministry on Wednesday. It also issued directions to Facebook, Twitter and SPH, Singapore’s leading media company, to carry a correction notice with all posts related to Kejriwal’s remarks.

Individuals in breach of the Protection from Online Falsehoods and Manipulation Act (POFMA) may be liable to a fine up to S$50,000 and/or up to five years imprisonment.

In his tweet posted on Tuesday afternoon, Kejriwal said that coronavirus has taken a “new form” in Singapore and turned “very dangerous” for children. He wrote that this could herald a “third wave” in India. Further, he appealed to the central government to stop all air services with Singapore and prioritise the vaccination of children at the earliest.",news ,30-11-2018
"Arvind Kejriwal is a 'migratory bird', visiting various states to 'allure' people with 'fake' promises: Navjot Singh Sidhu","Punjab Congress chief Navjot Singh Sidhu on Monday (January 17, 2022) slammed Delhi Chief Minister Arvind Kejriwal and said he is a 'migratory bird', visiting various states to 'allure' people with 'fake' promises, only to return to the national capital eventually.

While addressing a press conference at his residence, Sidhu also hit out at Kejriwal for making 'false' promises to the people of Punjab.

He claimed that Kejriwal had no roadmap for Punjab and that he wants to run the state with remote control from Delhi.

""How can he (Kejriwal) think better for Punjab when there is not even a single Punjabi in his Cabinet,"" Sidhu asked. The cricketer-turned-politician also dubbed AAP's 'Janta Chunegi Apna CM' drive as 'a drama'.

""It is a drama to befool Bhagwant Mann. I have deep respect for my old friend Mann who calls me guru. Kejriwal in Delhi did not seek such public's advice and wasted no time to sit on the chair of the CM,"" he said.",news ,30-11-2018
"Kejriwal didn’t congratulate Delhi for a ‘speed breaker’, viral photo from 2020 is edited"," Social media is abuzz with a fake poster of Delhi Chief Minister Arvind Kejriwal congratulating the people of national capital for the installation of a speed bump.

The post was shared by many users on microblogging site Twitter, including some verified accounts, mocking the Aam Aadmi Party leader for promoting something as insignificant as installing a speed breaker.

The viral image has a Hindi quote with a photo of Arvind Kejriwal that reads, “Congratulations! A speed breaker has been made near Sagarpur sabji mandi”.

Bharatiya Janata Party (BJP) national spokesperson Gaurav Bhatia shared the post, asking, “who is the speed breaker”, in a dig at Kejriwal. The post was liked by over 2,000 people.",news ,30-11-2018
"Will change Kerala': Arvind Kejriwal joins hands with Twenty20

Read more at: https://www.oneindia.com/india/will-change-kerala-arvind-kejriwal-joins-hands-with-twenty20-3408630.html","""Today is a historic day for Kerala. Through a new political front - People's Welfare Alliance - Aam Aadmi Party and Twenty20 will work together for the welfare of Kerala and its people,"" he said.

Listing out the projects, the AAP chief said the Delhi government has provided jobs to 1.2 million people in the capital.

""People of other parties won't give jobs to the children of this State, they won't give education. Why? Because they want people who can riot, who can spread hooliganism. We are decent people, we don't know how to do any of these things and we don't want to indulge in such practices,"" Kejriwal said.",news ,30-11-2018
"Mumbai drugs bust: Ramdas Athawale backs Sameer Wankhede, slams Nawab Malik's allegations 'baseless'","Union minister Ramdas Athawale on Sunday termed the allegations leveled by Maharashtra minister Nawab Malik against NCB's zonal director Sameer Wankhede as ""baseless"" and ""mischievous"", and defended the officer saying he has not done anything wrong. Athawale also said the state government should ensure that Wankhede is not harmed and that there is no threat to his life.

Malik, a leader of the ruling NCP, has been repeatedly targeting the NCB and Wankhede, who had supervised the raid on a cruise liner off the Mumbai coast earlier this month that led to the alleged recovery of drugs and the arrest of Aryan Khan, son of Bollywood actor Shah Rukh Khan.

A few days back, Malik had dubbed Wankhede as ""bogus"" and asserted that once ""proof"" against him is out, he cannot remain in government service even for one day. He had also said that the officer will lose his job in one year and eventually land in jail. Wankhede has, however, refuted the allegations. Addressing a press conference, Athawale accused Malik of trying to give a religious and casteist color while targeting Wankhede.

""The state government should ensure there is no threat to Wankhede's life,"" the Union Minister of State for Social Justice and Empowerment said, adding that the NCB officer shouldn't be harmed.Athawale claimed that the Narcotics Control Bureau (NCB) has enough proof against Aryan Khan in the cruise ship drugs case, which is why he has been denied bail.

""Wankhede hasn't done anything wrong. He and the NCB are working to save the youths from the drugs menace. Instead of supporting this, Malik is targeting Wankhede because the action was taken against his son-in-law Sameer Khan. The allegations levelled by Malik against Wankhede are baseless and mischievous,"" he added.

The NCP leader's son-in-law was arrested by the NCB for alleged possession of drugs in January this year and was granted bail last month.

Malik has repeatedly claimed the case related to the alleged recovery of banned drugs from the cruise ship was fake and arrests were made just on the basis of WhatsApp chats.",news ,30-11-2018
Ramdas Athawale points out typo in Shashi Tharoor's tweet in response to jibe on Twitter,"Tharoor took to Twitter to post a screengrab from Sansad TV's coverage of Finance Minister Nirmala Sitharaman's speech in the Lok Sabha.

In the picture, Union minister Ramdas Athawale can be seen sitting with a 'stunned expression' on the bench behind the Finance Minister.

Referring to the picture, Shashi Tharoor wrote on Twitter: ""Nearly two-hour rely to the Bydget debate. The stunned & incredulous expression on Minister @RamdasAthawale's face says it all: even the Treasury benches can't believe FinMin @nsitharaman's claims about the economy & her Budget!""Tharoor took to Twitter to post a screengrab from Sansad TV's coverage of Finance Minister Nirmala Sitharaman's speech in the Lok Sabha.

In the picture, Union minister Ramdas Athawale can be seen sitting with a 'stunned expression' on the bench behind the Finance Minister.

Referring to the picture, Shashi Tharoor wrote on Twitter: ""Nearly two-hour rely to the Bydget debate. The stunned & incredulous expression on Minister @RamdasAthawale's face says it all: even the Treasury benches can't believe FinMin @nsitharaman's claims about the economy & her Budget!""",news ,30-11-2018
"Ramdas Athawale condemns violence at US Capitol, says he will talk to Trump over phone.","In a recent development, Union minister Ramdas Athawale has condemned the violence at the US Capitol and said he will speak to American President Donald Trump over the phone.
Read more at: https://www.oneindia.com/india/ramdas-athawale-condemns-violence-at-us-capitol-says-he-will-talk-to-trump-over-phone-3199852.html?story=1Speaking to media, Athawale said, ""It is not only an insult to the Republican Party but also to America and democracy. That is why we are expressing our displeasure. I will try to speak to him (Donald Trump) over the phone.""",news ,30-11-2018
"MoS for Social Justice, Empowerment Ramdas Athawale demands imposition of President's rule in Maharashtra","Union Minister of State for Social Justice and Empowerment Ramdas Athawale has demanded imposition of President's rule in Maharashtra. Talking to reporters in Raipur today during his visit to Chhattisgarh, Mr. Athawale said that the law and order situation in Maharashtra is not good. He alleged that the people of the ruling party are pelting stones and attacking the opposition leaders. In such a situation, it has become necessary to impose President's rule in the state. Union Minister of State Ramdas Athawale, who is also the President of the Republican Party of India, said that he will soon write a letter to the Union Home Minister Amit Shah in this regard.",news ,29-11-2018
Sharad Pawar falls victim to fake news & Yechury calls out govt for ‘lies’ on Budget data,"Nationalist Congress Party chief Sharad Pawar has fallen victim to fake news. A message has been doing the rounds on WhatsApp, falsely claiming that he will recharge the phones of those who will help farmers. Fake news is, indeed, a rising menace, sir.

In translation: A WhatsApp message has been spreading on social media that I will recharge the mobile phones to help the drought-hit farmers in the state. This is a cruel attempt by some socialists to oppress farmers.

I urge those who do such things not to believe such rumours. The cyber system should promptly investigate and file crimes against the concerned.",news ,29-11-2018
"Maharashtra actor, student arrested over posts on Sharad Pawar: Police","A Marathi actor and a pharmaceutical student in Maharashtra were arrested Saturday for posting derogatory comments allegedly aimed at Nationalist Congress Party (NCP) chief Sharad Pawar on social media.

The actor, Ketaki Chitale, 29, had posted a Marathi poem on her Facebook profile, attributed to another person, that mentions only a surname (Pawar) and an age (80). But it also refers to the physical ailments the 81-year-old NCP leader suffers from.",news ,30-11-2018
Sharad Pawar Called Himself ‘Baap’ Of Hindu Gods? Here’s The Truth Behind The Viral Claim,"A video, where the NCP supremo Sharad Pawar purportedly uses ‘unparliamentary’ language while describing Hindu Gods and Goddesses, is going viral on social media, with many accusing him of being an atheist and a Hindu hater. Newschecker has found that the video is being shared out of context. 

BJP leader Sunil Deodhar was among those who shared the video claiming to show Sharad Pawar slandering Hindu Gods and Goddesses. His tweets garnered over 1,500 retweets and over 2,500 likes. Pawar was speaking at the 39th Annual Meeting of the Indian Society for Tribal Research and Development in Satara. On listening to the whole speech, we understood that Sharad Pawar was speaking with reference to two poems from poet Jawahar Rathore’s collection of poems ‘Dongrache Dhol’, in which the poet writes of the suffering and pain endured by stone sculptors from their perspective. The specific poem quoted by Pawar is titled ‘Patharvat’ or stone sculptor. The image of the same has been added below. 

",news ,29-11-2018
One held for impersonating Sharad Pawar and making fake calls to Maharashtra CMO,"In a bizarre development, two persons allegedly impersonated Nationalist Congress Party President Sharad Pawar in two different incidents in Mumbai and Pune, sending shockwaves in the political circles on Thursday (August 12).

Separate complaints were lodged with the Chakan Police in Pune and the Gamdevi Police in Mumbai, leading to the detention of one suspect. Further investigations are underway.

In both instances, the callers made calls from a number purportedly belonging to Pawar`s residence -- Silver Oaks in south Mumbai -- and `spoke` in his voice.

In the first instance, a call was made to a senior bureaucrat in the Mantralaya seeking some official favour, with the caller claiming to be calling from the home of Pawar.

The alert officer, smelling something fishy, called back Silver Oaks to verify the call, only to discover that the 81-year old leader was even not present at home.",news ,28-11-2018
"Sharad Pawar intervenes, says MSRTC strike has seriously affected rural commuters","Stating that commuters across Maharashtra had been gravely hit by the strike called by staffers of the Maharashtra State Road Transport Corporation (MSRTC), Nationalist Congress Party (NCP) chief Sharad Pawar on Monday said that ‘false rumours’ spread about the alleged high-handed attitude of the Maharashtra government towards the agitators had needlessly prolonged the strike.

“The MSRTC employees strike has been dragging for over two months now… It is better not to describe the condition of the passengers in this period. To add to our woes, the State is in the grip of a third wave of the pandemic owing to the Omicron variant. All this is taking a toll on the State’s economy. So, I appeal to the agitating employees to think of the welfare of passengers and resume duties,” said Mr. Pawar, speaking in Mumbai.",news ,29-11-2018
